release_year,genre,track_count
1922,pop/standards,75
1922,jazz,58
1922,tango,39
1923,jazz,165
1923,pop/standards,99
1923,blues,60
1923,tango,39
1923,soul/r&b,30
1924,jazz,197
1924,pop/standards,193
1924,tango,99
1924,blues,98
1925,jazz,265
1925,pop/standards,113
1925,tango,77
1925,blues,55
1925,folk,35
1925,soul/r&b,18
1926,jazz,482
1926,pop/standards,307
1926,blues,293
1926,tango,201
1926,classical,50
1926,folk,21
1926,latin,15
1927,tango,349
1927,jazz,136
1927,blues,96
1927,folk,71
1927,classical,59
1927,country,59
1927,pop/standards,57
1928,classical,448
1928,tango,268
1928,blues,129
1928,jazz,117
1928,folk,76
1928,pop/standards,72
1928,rock,42
1928,country,34
1928,soul/r&b,19
1928,latin,12
1929,jazz,402
1929,tango,319
1929,blues,136
1929,pop/standards,83
1929,classical,56
1929,folk,33
1929,soul/r&b,32
1929,country,29
1929,latin,25
1930,latin,291
1930,jazz,227
1930,tango,188
1930,pop/standards,157
1930,classical,147
1930,blues,131
1930,rock,91
1930,soul/r&b,49
1930,folk,45
1930,country,14
1931,tango,203
1931,jazz,165
1931,pop/standards,85
1931,latin,81
1931,classical,76
1931,blues,31
1931,folk,31
1931,country,25
1932,jazz,230
1932,pop/standards,177
1932,tango,107
1932,folk,55
1932,country,53
1932,latin,37
1933,jazz,436
1933,blues,290
1933,pop/standards,290
1933,soul/r&b,270
1933,tango,130
1933,latin,66
1933,classical,61
1933,country,57
1934,jazz,323
1934,tango,134
1934,pop/standards,121
1934,blues,96
1934,classical,64
1934,soul/r&b,24
1934,indian,17
1935,classical,360
1935,jazz,153
1935,latin,142
1935,blues,125
1935,pop/standards,101
1935,folk,89
1935,rock,66
1935,tango,50
1935,country,38
1935,soul/r&b,24
1936,jazz,229
1936,blues,208
1936,pop/standards,167
1936,rock,157
1936,country,73
1936,soul/r&b,38
1936,folk,35
1936,tango,30
1936,latin,28
1936,classical,27
1936,indian,15
1937,jazz,337
1937,pop/standards,220
1937,blues,212
1937,classical,165
1937,soul/r&b,99
1937,tango,73
1937,folk,65
1937,latin,62
1937,country,55
1937,indian,51
1937,rock,48
1938,jazz,302
1938,pop/standards,276
1938,classical,200
1938,blues,148
1938,tango,56
1938,rock,47
1938,indian,40
1938,folk,32
1938,soul/r&b,24
1938,country,23
1938,latin,13
1939,jazz,502
1939,pop/standards,284
1939,blues,138
1939,indian,130
1939,latin,87
1939,classical,76
1939,tango,71
1939,folk,61
1939,soul/r&b,25
1939,country,18
1940,latin,399
1940,jazz,278
1940,classical,185
1940,blues,175
1940,pop/standards,169
1940,folk,50
1940,indian,37
1940,tango,34
1940,soul/r&b,27
1941,classical,431
1941,jazz,234
1941,pop/standards,175
1941,indian,174
1941,soul/r&b,90
1941,blues,62
1941,latin,55
1941,folk,52
1941,tango,40
1942,classical,451
1942,jazz,275
1942,latin,257
1942,pop/standards,225
1942,indian,141
1942,tango,30
1943,indian,282
1943,classical,141
1943,blues,75
1943,pop/standards,62
1943,folk,55
1943,latin,40
1943,tango,38
1943,jazz,24
1943,country,11
1944,indian,302
1944,classical,192
1944,jazz,149
1944,pop/standards,147
1944,tango,66
1944,latin,26
1944,blues,16
1945,classical,527
1945,jazz,195
1945,pop/standards,161
1945,indian,160
1945,blues,114
1945,country,69
1945,folk,60
1945,latin,29
1945,tango,22
1946,classical,899
1946,jazz,232
1946,indian,212
1946,pop/standards,149
1946,blues,103
1946,latin,80
1946,country,66
1946,tango,40
1946,soul/r&b,31
1946,folk,21
1947,classical,455
1947,indian,354
1947,jazz,229
1947,pop/standards,187
1947,blues,123
1947,folk,85
1947,country,63
1947,soul/r&b,53
1947,latin,50
1947,tango,11
1948,classical,876
1948,indian,473
1948,pop/standards,203
1948,jazz,141
1948,latin,40
1948,blues,38
1948,soul/r&b,27
1949,classical,765
1949,indian,388
1949,pop/standards,370
1949,jazz,189
1949,latin,125
1949,soul/r&b,84
1949,folk,60
1949,blues,57
1949,country,41
1950,classical,612
1950,pop/standards,370
1950,latin,325
1950,indian,294
1950,jazz,270
1950,soul/r&b,82
1950,country,65
1950,folk,22
1951,classical,831
1951,pop/standards,379
1951,indian,317
1951,jazz,298
1951,country,102
1951,folk,99
1951,latin,99
1951,blues,93
1951,soul/r&b,54
1951,rock,33
1951,tango,29
1952,classical,744
1952,jazz,380
1952,pop/standards,374
1952,indian,352
1952,country,66
1952,soul/r&b,65
1952,blues,59
1952,latin,53
1952,folk,43
1953,classical,1053
1953,jazz,507
1953,indian,352
1953,pop/standards,337
1953,latin,158
1953,blues,51
1953,soul/r&b,32
1953,country,22
1953,folk,17
1954,classical,938
1954,jazz,919
1954,pop/standards,852
1954,indian,268
1954,blues,176
1954,soul/r&b,156
1954,latin,141
1954,folk,63
1954,country,34
1955,jazz,1065
1955,pop/standards,934
1955,classical,839
1955,indian,359
1955,latin,283
1955,soul/r&b,246
1955,blues,164
1955,country,82
1955,folk,47
1956,jazz,1243
1956,pop/standards,1109
1956,classical,499
1956,soul/r&b,355
1956,blues,353
1956,latin,334
1956,indian,196
1956,folk,162
1956,country,97
1956,rock,47
1956,tango,18
1957,jazz,1271
1957,pop/standards,1196
1957,classical,586
1957,soul/r&b,386
1957,indian,322
1957,blues,201
1957,latin,173
1957,country,74
1957,rock,72
1957,folk,49
1958,pop/standards,1277
1958,jazz,1002
1958,classical,775
1958,soul/r&b,427
1958,blues,317
1958,indian,301
1958,latin,285
1958,country,61
1958,rock,54
1958,folk,50
1959,pop/standards,1449
1959,jazz,1119
1959,classical,650
1959,soul/r&b,380
1959,latin,315
1959,indian,302
1959,blues,173
1959,folk,90
1959,country,86
1959,rock,57
1960,pop/standards,1307
1960,jazz,799
1960,classical,524
1960,indian,422
1960,soul/r&b,413
1960,latin,312
1960,blues,197
1960,folk,174
1960,rock,149
1960,country,98
1960,tango,15
1961,pop/standards,1231
1961,jazz,1040
1961,classical,693
1961,indian,364
1961,soul/r&b,353
1961,latin,312
1961,country,165
1961,blues,100
1961,folk,89
1961,tango,49
1961,rock,48
1962,pop/standards,1578
1962,jazz,729
1962,classical,617
1962,soul/r&b,496
1962,indian,411
1962,latin,291
1962,blues,146
1962,folk,99
1962,country,89
1962,rock,81
1962,tango,41
1963,pop/standards,1447
1963,jazz,737
1963,classical,415
1963,indian,368
1963,soul/r&b,366
1963,latin,212
1963,country,196
1963,rock,149
1963,folk,137
1963,blues,63
1963,tango,23
1964,pop/standards,1258
1964,jazz,591
1964,indian,441
1964,classical,411
1964,soul/r&b,375
1964,latin,327
1964,folk,247
1964,rock,230
1964,country,177
1964,blues,84
1964,tango,13
1965,pop/standards,1490
1965,rock,535
1965,folk,418
1965,soul/r&b,403
1965,latin,399
1965,indian,394
1965,classical,352
1965,jazz,328
1965,country,168
1965,blues,111
1966,pop/standards,721
1966,rock,379
1966,latin,242
1966,soul/r&b,213
1966,folk,200
1966,indian,189
1966,jazz,165
1966,classical,87
1966,country,77
1966,blues,62
1967,pop/standards,1067
1967,rock,1013
1967,folk,380
1967,latin,368
1967,soul/r&b,352
1967,indian,303
1967,jazz,260
1967,blues,143
1967,country,139
1967,classical,133
1968,pop/standards,1043
1968,rock,868
1968,soul/r&b,488
1968,folk,397
1968,latin,384
1968,jazz,352
1968,indian,280
1968,blues,161
1968,country,143
1968,classical,120
1969,rock,930
1969,pop/standards,745
1969,latin,490
1969,folk,433
1969,soul/r&b,384
1969,indian,277
1969,jazz,202
1969,blues,201
1969,country,98
1969,classical,62
1970,rock,975
1970,pop/standards,656
1970,latin,588
1970,folk,425
1970,soul/r&b,392
1970,indian,318
1970,jazz,181
1970,blues,160
1970,classical,77
1970,country,74
1971,rock,874
1971,latin,571
1971,pop/standards,543
1971,folk,515
1971,soul/r&b,323
1971,indian,269
1971,blues,176
1971,jazz,162
1971,classical,106
1971,country,79
1971,tango,13
1972,rock,754
1972,pop/standards,589
1972,latin,585
1972,folk,524
